doc_id,invoice_number,date,amount
X00016469670,NO,15/01/2019,6.0
X00016469671,NO,02/01/2019,1.0
X51005200931,CS00082258,09/02/2018,436.2
X51005230605,19729058,01/02/2018,6.0
X51005230616,,18/01/2018,6.0
X51005230621,,05/02/2018,887.0
X51005230648,,29/01/2018,6.0
X51005230657,,31/12/2017,6.0
X51005230659,,08/01/2018,6.0
X51005268275,,20/11/2017,888100123.0
X51005268408,18222/102/T0341,20-11-17,200.0
X51005288570,,,59.0
X51005301666,,20/11/2017,888100123.0
X51005337867,,22 MAR 18,30.25
X51005337877,,20/03/2018,54.0
X51005361906,,27/01/2018,200.0
X51005361908,,15/03/2018,127.2
X51005361912,,29/01/2018,53.0
X51005361923,,02/01/2018,6.0
X51005365187,,02/03/2018,275.0
X51005433518,OR18030702170417,07 MAR 2018,8.2
X51005433543,OR18031302170441,13 MAR 2018,8.2
X51005433548,,03/03/18,379.0
X51005433556,,11/03/2018,50.0
X51005442322,,03 MAR 18,6.0
X51005442334,OR18032602170324,26 MAR 2018,8.2
X51005442343,,13/03/2018,102.0
X51005442366,,22-03-2018,666.0
X51005442375,OR18032502170439,25 MAR 2018,8.5
X51005442382,OR18032002170471,20 MAR 2018,6.6
X51005442388,,20/03/18,50.0
X51005444040,BAT01201803090220,09/03/18,6.0
X51005444041,BAT01201803080169,08/03/18,6.0
X51005444044,18332/103/T0157,10-03-18,104.0
X51005444046,S,25/03/18,6.0
X51005447841,,09/03/2018,4.0
X51005447842,,14/03/2018,1.0
X51005447844,8884,23/2/2018,110.0
X51005447851,,30/01/2018,1.0
X51005447859,,14/02/2018,1.0
X51005568855,,23/12/17,450.0
X51005568866,,3 SEPT 2017,437.0
X51005568885,,10/07/2017,1.0
X51005568887,,06/04/2017,603.0
X51005568889,,11/02/2017,603.0
X51005568890,,05/01/2017,603.0
X51005568892,,18/09/2017,1.0
X51005568894,,17/01/2017,51.65
X51005568895,,13/09/2017,53.0
X51005577191,CS00031383,07/12/2017,42.0
X51005582745,CS00090733,04/12/2016,6.0
X51005587261,,23/03/2017,600.0
X51005605287,2018031430090060035,14/03/2018,50.0
X51005605295,,22/03/18,603.0
X51005605332,,14/03/18,52.0
X51005621482,NO,20/03/2018,6.0
X51005663274,NO,08/02/2018,15.0
X51005663300,NO,02/02/2018,10.0
X51005663307,NO,09/02/2018,100.0
X51005663309,,01/02/2018,939.0
X51005663310,NO,09/02/2018,12.0
X51005663323,CS00042153,04/12/2017,939.0
X51005675099,,20/01/2018,6.0
X51005675103,,04/01/2018,290.0
X51005675104,,25/01/2018,290.0
X51005675914,,10/11/2017,70.0
X51005676534,,03/01/2018,290.0
X51005676535,,30/12/2017,290.0
X51005676537,,03/01/2018,290.0
X51005676542,,29/12/2017,290.0
X51005676548,,15/01/2018,290.0
X51005677327,,01/02/2018,290.0
X51005677333,,31/01/2018,290.0
X51005677336,,27/01/2018,290.0
X51005677337,,02/02/2018,290.0
X510056849111,OF,26-02-2018,46.0
X51005684949,OF,26-02-2018,46.0
X51005705727,,28/12/2017,603.0
X51005705729,,13/10/2017,100.0
X51005705759,OR,1/08/2017,2.0
X51005705784,,15/09/2017,603.0
X51005710963,CS00032256,21/03/2018,59.0
X51005711402,,17-03-2018,8.0
X51005711443,,23-03-2018,55.0
X51005711444,,21-03-2018,42.0
X51005711446,,10-03-2018,6.0
X51005711449,,07-03-2018,4.0
X51005715006,KNG01-1032303,20/03/2018,6.0
X51005715007,,25-03-18,90.0
X51005715455,18348/102/T0058,26-03-18,102.0
X51005719823,CS00123688,29/01/2018,47.0
X51005719855,,19/02/2018,357.0
X51005719857,,19-02-2018,603.0
X51005719863,,12-01-2018,77.4
X51005719888,,04/01/2018,5.0
X51005719889,,04/01/2018,42.0
X51005719895,,1/8/2018,6.0
X51005719898,,19-03-18,6.0
X51005719903,,11/03/2018,6.0
X51005719905,,25/03/2018,56.0
X51005724552,,21/03/2018,276.0
X51005724609,,14/03/18,688.0
X51005724611,,21/03/2018,276.0
X51005724622,,07/03/2018,276.0
X51005724623,,08/03/2018,350.0
X51005724624,,16/03/2018,276.0
X51005724625,,12/03/2018,300.0
X51005724626,,02/04/2018,921.0
X51005724628,,10/03/2018,276.0
X51005741929,NO,15/01/2018,100.0
X51005742110,CS00668595,06/01/2018,65.7
X51005745213,,01/02/2018,6.0
X51005745244,1/A-42210-138075,0 PHONE 03,31.0
X51005745298,18353/102/T0311,31-03-18,503100.0
X51005746203,NO,01-03-2018,6.0
X51005746204,,,1546.0
X51005746206,,21-03-2018,105.0
X51005746207,203225,21-03-2018,6.0
X51005746210,NO,12 MAR 2018,145.1
X51005749904,,06/03/2018,6.0
X51005757220,2018030510080080119,05/03/2018,300.0
X51005757233,,09/03/18,100.0
X51005757282,,12/09/2017,373.0
X51005757292,-,18-03-18,6.0
X51005757308,-,21-03-18,6.0
X51005757342,-,23-03-18,6.0
X51005763958,152164,27-01-2018,6.0
X51005763964,CS00668594,06/01/2018,65.7
X51005763999,NO,06 JAN 2018,674.0
X51005764031,192636,01-02-2018,6.0
X51005764154,,25-01-2018,205.5
X51005764161,18291/102/T0380,28-01-18,102.0
X51005806692,,18/02/2018,911.0
X51005806695,NO,,37.0
X51005806696,,23/02/2018,603.0
X51005806718,,13/01/2018,4.0
X51005806719,,13/01/2018,956.0
X51005806720,,13/01/2018,50.0
X51006008081,,19/03/2018,226.6
X51006008082,,25/03/2018,204.2
X51006008083,,25/03/2018,119.57
X51006008090,,05/03/18,56.0
X51006008092,,06/03/18,450.0
X51006008093,,06/03/18,31.0
X51006008105,2018032151300023113,21/03/2018,300.0
X51006008166,,14/01/2018,750.0
X51006008206,001-731709,,63.9
X51006248253,,29/03/2018,47.0
X51006311714,,01/01/18,23.0
X51006327953,,03/02/2017,100.0
X51006327960,,07/02/17,0.56
X51006328345,,23/02/17,0.41
X51006328937,CS00168420,31/03/2017,69.0
X51006328967,,17/03/2017,3.0
X51006329183,,06-03-2018,396.0
X51006329388,,,3052.0
X51006332641,CS00027489,11/02/2017,50.1
X51006334139,,05/01/17,603.0
X51006334742,,01-01-2017,179.0
X51006334766,,12/01/2017,863.0
X51006334770,,,6.0
X51006334819,,,3243.0
X51006334927,,11/11/16,437.0
X51006335818,NO,06 FEB 2017,50.0
